site,tidal_height,quadrat,num_snails,boulder_cover,pebbles_cover,algae_cover,dead_algae_cover,depth_cm,comments
Exposed,High,1,15,80,20,0,10,NA,NA
Exposed,High,2,10,70,30,0,5,NA,NA
Exposed,High,3,17,60,40,0,12,NA,NA
Exposed,High,4,13,40,60,0,10,NA,NA
Exposed,High,5,11,80,20,0,20,NA,NA
Exposed,Medium,1,28,70,30,0,NA,NA,NA
Exposed,Medium,2,2,70,30,0,NA,NA,NA
Exposed,Medium,3,24,60,40,0,NA,NA,NA
Exposed,Medium,4,2,30,70,0,NA,NA,NA
Exposed,Medium,5,14,75,25,0,NA,NA,NA
Exposed,Low,1,45,90,10,70,NA,20,NA
Exposed,Low,2,3,90,10,90,NA,22,NA
Exposed,Low,3,5,80,20,80,NA,20,NA
Exposed,Low,4,0,70,30,70,NA,21,All algae were suspended above the sediment
Exposed,Low,5,4,90,10,100,NA,25,NA
Sheltered,High,1,12,60,40,0,5,NA,NA
Sheltered,High,2,11,60,40,0,0,NA,NA
Sheltered,High,3,5,70,30,0,0,NA,NA
Sheltered,High,4,5,40,60,0,0,NA,NA
Sheltered,High,5,9,50,50,0,15,NA,NA
Sheltered,Medium,1,15,30,70,10,NA,NA,NA
Sheltered,Medium,2,15,40,60,10,NA,NA,NA
Sheltered,Medium,3,40,70,30,0,NA,NA,NA
Sheltered,Medium,4,22,55,45,0,NA,NA,NA
Sheltered,Medium,5,14,50,50,0,NA,NA,NA
Sheltered,Low,1,25,0,100,100,NA,20,30% sand/silt
Sheltered,Low,2,34,45,55,95,NA,20,10% sand/silt
Sheltered,Low,3,18,40,60,50,NA,20,10% sand/silt
Sheltered,Low,4,12,45,55,20,NA,20,45% sand/silt
Sheltered,Low,5,41,60,40,70,NA,20,15% sand/silt
